This is the complete list of games supported by MAME 0.95 (Mar 27 2005).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Ghost Pilots                     |  Yes  |  Yes  |  Yes  |  Yes  | gpilots  |
| Ghostlop                         |  Yes  |  Yes  |  Yes  |  Yes  | ghostlop |
| Ghostmuncher Galaxian            |  Yes  |  Yes  |  Yes  |  Yes  | gmgalax  |
| Ghosts'n Goblins                 |  Yes  |  Yes  |  Yes  |  Yes  | gng      |
| Ghouls'n Ghosts                  |   No  |  Yes  |  Yes  |  Yes  | mt_gng   |
| Ghouls'n Ghosts                  |  Yes  |  Yes  |  Yes  |  Yes  | ghouls   |
| Ghox                             |  Yes  |  Yes  |   No  |  Yes  | ghox     |
| Giga Wing                        |  Yes  |  Yes  |  Yes  |  Yes  | gigawing |
| Gigandes                         |  Yes  |  Yes  |  Yes  |  Yes  | gigandes |
| Gigas                            |  Yes  |  Yes  |  Yes  |   No  | gigasb   |
| Gigas Mark II                    |  Yes  |  Yes  |  Yes  |   No  | gigasm2b |
| Gimme A Break                    |  Yes  |  Yes  |  Yes  |  Yes  | gimeabrk |
| Ginga NinkyouDen                 |  Yes  |  Yes  |  Yes  |  Yes  | ginganin |
| Gionbana                         |  Yes  |  Yes  |  Yes  |  Yes  | gionbana |
| Gionbana [BET]                   |  Yes  |  Yes  |  Yes  |  Yes  | mgion    |
| Gladiator                        |  Yes  |  Yes  |  Yes  |  Yes  | gladiatr |
| Gladiator 1984                   |  Yes  |  Yes  |  Yes  |   No  | sgladiat |
| Glass                            |   No  |  Yes  |  Yes  |  Yes  | glass    |
| Go Go Mr. Yamaguchi / Yuke Yuke Y|  Yes  | Close |  Yes  |  Yes  | yamagchi |
| Go Go! Mile Smile                |  Yes  |  Yes  |Partial|  Yes  | gogomile |
| Goal! Goal! Goal!                |  Yes  |  Yes  |  Yes  |  Yes  | goalx3   |
| Goalie Ghost                     |  Yes  |  Yes  |  Yes  |  Yes  | gghost   |
| Godzilla                         |   No  |  Yes  |  Yes  |  Yes  | godzilla |
| Goindol                          | No(1) |  Yes  |  Yes  |  Yes  | goindol  |
| Gokujyou Parodius                |  Yes  |  Yes  |  Yes  |  Yes  | gokuparo |
| Gold Bug                         |  Yes  |  Yes  |Partial|   No  | goldbug  |
| Gold Medalist                    |  Yes  |  Yes  |  Yes  |  Yes  | goldmedl |
| Golden Axe                       |   No  |  Yes  |  Yes  |  Yes  | mt_gaxe  |
| Golden Axe                       |  Yes  |  Yes  |  Yes  |  Yes  | goldnaxe |
| Golden Axe - The Duel            |   No  |  Yes  |   No  |  Yes  | gaxeduel |
| Golden Axe II                    |   No  |  Yes  |  Yes  |  Yes  | mt_gaxe2 |
| Golden Axe II                    |  Yes  |  Yes  |  Yes  |  Yes  | mp_gaxe2 |
| Golden Axe: The Revenge of Death |  Yes  |  Yes  |  Yes  |  Yes  | ga2      |
| Golden Fire II                   |  Yes  |  Yes  |  Yes  |  Yes  | gfire2   |
| Golden Par Golf                  |  Yes  |  Yes  |  Yes  |  Yes  | gpgolf   |
| Golden Tee '97                   |  Yes  |  Yes  |  Yes  |  Yes  | gt97     |
| Golden Tee '98                   |  Yes  |  Yes  |  Yes  |  Yes  | gt98     |
| Golden Tee '99                   |  Yes  |  Yes  |  Yes  |  Yes  | gt99     |
| Golden Tee 2K                    |  Yes  |  Yes  |  Yes  |  Yes  | gt2k     |
| Golden Tee 3D Golf               |  Yes  |  Yes  |  Yes  |  Yes  | gt3d     |
| Golden Tee Classic               |  Yes  |  Yes  |  Yes  |  Yes  | gtclassc |
| Golden Tee Golf                  |  Yes  |  Yes  |  Yes  |  Yes  | gtg      |
| Golden Tee Golf II               |  Yes  |  Yes  |  Yes  |  Yes  | gtg2     |
| Golf                             |  Yes  |  Yes  |  Yes  |  Yes  | pc_golf  |
| Golfing Greats                   |   No  |  Yes  |Partial|  Yes  | glfgreat |
| Golgo 13                         |   No  |  Yes  |Partial|  Yes  | golgo13  |
| Golly! Ghost!                    |  Yes  |  Yes  |  Yes  |  Yes  | gollygho |
| Gomoku Narabe Renju              |  Yes  |  Yes  |  Yes  |  Yes  | gomoku   |
| Gondomania                       |  Yes  |  Yes  |  Yes  |  Yes  | gondo    |
| Goonies, The                     |  Yes  |  Yes  |  Yes  |  Yes  | pc_goons |
| Gorf                             |  Yes  |  Yes  | Yes(2)|  Yes  | gorf     |
| Got-cha                          |  Yes  |  Yes  |  Yes  |  Yes  | gotcha   |
| Gourmet Battle Quiz Ryohrioh CooK|  Yes  |  Yes  |  Yes  |   No  | ryorioh  |
| Gradius                          |  Yes  |  Yes  |  Yes  |  Yes  | pc_grdus |
| Gradius 4: Fukkatsu              |   No  |  Yes  |   No  |  Yes  | gradius4 |
| Gradius III                      |  Yes  |  Yes  |  Yes  |  Yes  | gradius3 |
| Grand Champion                   |  Yes  |  Yes  |Partial|  Yes  | grchamp  |
| Grand Cross                      |  Yes  |  Yes  |Partial|   No  | gcpinbal |
| Grand Prix Star                  |  Yes  |  Yes  |  Yes  |  Yes  | f1gpstar |
| Grand Slam                       |   No  |  Yes  |  Yes  |  Yes  | mp_gslam |
| Grand Striker                    |  Yes  |  Yes  |  Yes  |  Yes  | gstriker |
| Grand Striker 2                  |  Yes  |  Yes  |  Yes  |  Yes  | gstrik2  |
| Grand Tour                       |  Yes  |  Yes  |  Yes  |  Yes  | grndtour |
| Graplop                          |  Yes  |  Yes  |  Yes  |  Yes  | cgraplop |
| Gratia - Second Earth            |  Yes  |  Yes  |Partial|  Yes  | gratia   |
| Gravitar                         |  Yes  |  Yes  |  Yes  |  Yes  | gravitar |
| Great 1000 Miles Rally           |  Yes  |  Yes  |  Yes  |  Yes  | gtmr     |
| Great Golf                       |   No  |  Yes  |  Yes  |  Yes  | mt_ggolf |
| Great Guns                       |  Yes  |  Yes  |  Yes  |  Yes  | greatgun |
| Great Sluggers                   |  Yes  |  Yes  |   No  |  Yes  | gslugrsj |
| Great Sluggers '94               |  Yes  |  Yes  |   No  |  Yes  | gslgr94u |
| Great Soccer                     |   No  |  Yes  |  Yes  |  Yes  | mt_gsocr |
| Great Swordsman                  |  Yes  | Close |  Yes  |  Yes  | gsword   |
| Great Wall, The                  |   No  |  Yes  |   No  |  Yes  | grtwall  |
| Green Beret                      |  Yes  |  Yes  |  Yes  |  Yes  | gberet   |
| Green Beret                      |   No  | Close |   No  |   No  | greenber |
| Grid Seeker: Project Stormhammer |  Yes  |  Yes  |  Yes  |  Yes  | gseeker  |
| Grid, The                        |   No  |  Yes  |   No  |  Yes  | thegrid  |
| Gridiron Fight                   |  Yes  |  Yes  |  Yes  |  Yes  | gridiron |
| Gridlee                          |  Yes  |  Yes  |Part(2)|  Yes  | gridlee  |
| Grobda                           |  Yes  |  Yes  |  Yes  |  Yes  | grobda   |
| Ground Effects / Super Ground Eff|  Yes  |  Yes  |  Yes  |  Yes  | groundfx |
| Growl                            |  Yes  |  Yes  |  Yes  |  Yes  | growl    |
| Grudge Match                     |  Yes  |  Yes  |  Yes  |  Yes  | grudge   |
| Guardian                         | No(1) |  Yes  |  Yes  |   No  | getstar  |
| Guardian Force                   |  Yes  |  Yes  |Partial|  Yes  | grdforce |
| Guardians / Denjin Makai II      |  Yes  |  Yes  |  Yes  |   No  | grdians  |
| Guardians of the 'Hood           |  Yes  |  Yes  |  Yes  |  Yes  | guardian |
| Guerrilla War                    |  Yes  |  Yes  |  Yes  |   No  | gwar     |
| Guided Missile                   |  Yes  |  Yes  |   No  |  Yes  | gmissile |
| Gulf Storm                       |  Yes  |  Yes  |  Yes  |  Yes  | gulfstrm |
| Gulf War II                      |  Yes  |  Yes  |  Yes  |  Yes  | gulfwar2 |
| Gumbo                            |  Yes  |  Yes  |  Yes  |  Yes  | gumbo    |
| Gun & Frontier                   |  Yes  |  Yes  |  Yes  |  Yes  | gunfront |
| Gun Dealer                       |  Yes  |  Yes  |  Yes  |  Yes  | gundealr |
| Gun Dealer '94                   |  Yes  |  Yes  |  Yes  |  Yes  | gundl94  |
| Gun Fight                        |  Yes  |  Yes  |   No  |  Yes  | gunfight |
| Gun.Smoke                        |  Yes  |  Yes  |  Yes  |  Yes  | gunsmoke |
| GunNail                          |  Yes  |  Yes  |Partial|  Yes  | gunnail  |
| Gunbarich                        |  Yes  |  Yes  |  Yes  |  Yes  | gnbarich |
| Gunbird                          |  Yes  |  Yes  |  Yes  |  Yes  | gunbird  |
| Gunbird 2                        |  Yes  |  Yes  |  Yes  |  Yes  | gunbird2 |
| Gunblade NY                      |   No  |  Yes  |  Yes  |  Yes  | gunblade |
| Gunbuster                        |  Yes  |  Yes  |  Yes  |  Yes  | gunbustr |
| Gundhara                         |  Yes  |  Yes  |  Yes  |  Yes  | gundhara |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |  Yes  |  Yes  | gunforce |
| Gunforce 2                       |  Yes  |  Yes  |  Yes  |  Yes  | gunforc2 |
| Gunlock                          |  Yes  |  Yes  |  Yes  |  Yes  | gunlock  |
| Gunpey                           |   No  |  Yes  |   No  |  Yes  | gunpey   |
| Gururin                          |  Yes  |  Yes  |  Yes  |  Yes  | gururin  |
| Guts'n                           |  Yes  |  Yes  |  Yes  |  Yes  | gutsn    |
| Guwange                          |  Yes  |  Yes  |  Yes  |  Yes  | guwange  |
| Guzzler                          |  Yes  |  Yes  |  Yes  |  Yes  | guzzler  |
| Gyakuten!! Puzzle Bancho         |  Yes  |  Yes  |  Yes  |  Yes  | pbancho  |
| Gypsy Juggler                    |  Yes  |  Yes  |  Yes  |  Yes  | gypsyjug |
| Gyrodine                         |  Yes  |  Yes  |  Yes  |  Yes  | gyrodine |
| Gyruss                           |  Yes  |  Yes  |  Yes  |  Yes  | gyruss   |
| HAL21                            |  Yes  | Close |  Yes  |   No  | hal21    |
| Hacha Mecha Fighter              |   No  |  Yes  |Partial|  Yes  | hachamf  |
| Hachoo!                          |  Yes  |  Yes  |Partial|  Yes  | hachoo   |
| Halley's Comet                   |  Yes  |  Yes  |  Yes  |   No  | halleys  |
| Hammerin' Harry                  |  Yes  |  Yes  |  Yes  |   No  | hharry   |
| Hana Awase                       |  Yes  |  Yes  |  Yes  |  Yes  | hanaawas |
| Hana Oriduru                     |  Yes  |  Yes  |  Yes  |  Yes  | hnoridur |
| Hana Yayoi                       |  Yes  |  Yes  |  Yes  |  Yes  | hnayayoi |
| Hana no Mai                      |  Yes  |  Yes  |  Yes  |  Yes  | hanamai  |
| Hana to Ojisan [BET]             |  Yes  |  Yes  |  Yes  |  Yes  | hanaoji  |
| Hanagumi Taisen Columns - Sakura |  Yes  |  Yes  |Partial|  Yes  | hanagumi |
| Hanakanzashi                     |   No  |  Yes  |  Yes  |  Yes  | hanakanz |
| Hanaroku                         |  Yes  | Close |  Yes  |   No  | hanaroku |
| Hand, The                        |  Yes  |  Yes  | Yes(2)|  Yes  | thehand  |
| Hang-On                          |  Yes  |  Yes  |  Yes  |  Yes  | hangon   |
| Hang-On Jr.                      |  Yes  |  Yes  |  Yes  |  Yes  | hangonjr |
| Hangman                          |  Yes  |  Yes  |  Yes  |  Yes  | hangman  |
| Hard Drivin'                     |  Yes  |  Yes  |  Yes  |  Yes  | harddriv |
| Hard Drivin's Airborne           |  Yes  |  Yes  |   No  |  Yes  | hdrivair |
| Hard Dunk                        |  Yes  |  Yes  |  Yes  |  Yes  | harddunk |
| Hard Hat                         |  Yes  |  Yes  |  Yes  |  Yes  | hardhat  |
| Hard Head                        |  Yes  |  Yes  |  Yes  |  Yes  | hardhead |
| Hard Head 2                      |  Yes  |  Yes  |  Yes  |  Yes  | hardhea2 |
| Hard Yardage                     |  Yes  |  Yes  |  Yes  |  Yes  | hardyard |
| Harem                            |   No  |  Yes  |   No  |  Yes  | harem    |
| Harley-Davidson and L.A. Riders  |   No  |  Yes  |   No  |  Yes  | harley   |
| Hasamu                           |  Yes  |  Yes  |  Yes  |   No  | hasamu   |
| Hat Trick                        |  Yes  |  Yes  |  Yes  |  Yes  | hattrick |
| Hatch Catch                      |  Yes  |  Yes  |  Yes  |  Yes  | htchctch |
| Hatris                           |  Yes  |  Yes  |  Yes  |  Yes  | hatris   |
| Haunted Castle                   |  Yes  |  Yes  |  Yes  |  Yes  | hcastle  |
| Hayaoshi Quiz Ouza Ketteisen     |  Yes  |  Yes  |Partial|  Yes  | hayaosi1 |
| Head On                          |  Yes  | Close |   No  |   No  | headoni  |
| Head On                          |  Yes  |  Yes  |   No  |  Yes  | headon   |
| Head On 2                        |  Yes  |  Yes  |   No  |  Yes  | headon2  |
| Head Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | hedpanic |
| Heart Attack                     |  Yes  |  Yes  |Partial|   No  | heartatk |
| Heated Barrel                    |   No  |  Yes  |  Yes  |  Yes  | heatbrl  |
| Heaven's Gate                    |  Yes  |  Yes  |Partial|  Yes  | hvnsgate |
| Heavy Barrel                     |  Yes  |  Yes  |  Yes  |  Yes  | hbarrel  |
| Heavy Metal                      |  Yes  |  Yes  |  Yes  |  Yes  | hvymetal |
| Heavy Smash                      |   No  |  Yes  |   No  |  Yes  | hvysmsh  |
| Heavyweight Champ                |  Yes  |  Yes  |  Yes  |  Yes  | hwchamp  |
| Hebereke no Popoon               |  Yes  |  Yes  |  Yes  |  Yes  | heberpop |
| Heiankyo Alien                   |  Yes  |  Yes  |   No  |  Yes  | heiankyo |
| HeliFire                         |  Yes  |  Yes  |Partial|   No  | helifire |
| Hellfire                         |  Yes  |  Yes  |  Yes  |  Yes  | hellfire |
| Hero                             |  Yes  |  Yes  |Partial|   No  | hero     |
| Hexa                             |  Yes  |  Yes  |  Yes  |  Yes  | hexa     |
| Hexion                           |  Yes  |  Yes  |  Yes  |  Yes  | hexion   |
| Hidden Catch                     |   No  |  Yes  |   No  |  Yes  | hidnctch |
| High Impact Football             |  Yes  |  Yes  |  Yes  |  Yes  | hiimpact |
| High Voltage                     |   No  |  Yes  |  Yes  |  Yes  | hvoltage |
| High Way Race                    |  Yes  |  Yes  |  Yes  |  Yes  | hwrace   |
| Highway Chase?                   |   No  |  Yes  |  Yes  |  Yes  | chwy     |
| Hippodrome                       |  Yes  |  Yes  |  Yes  |  Yes  | hippodrm |
| History of Martial Arts, The     |  Yes  |  Yes  |   No  |  Yes  | histryma |
| Hit 'n Miss                      |  Yes  |  Yes  |  Yes  |  Yes  | hitnmiss |
| Hit Me                           |  Yes  |  Yes  |  Yes  |  Yes  | hitme    |
| Hit the Ice                      |  Yes  |  Yes  |  Yes  |  Yes  | hitice   |
| Hoccer                           |  Yes  |  Yes  |  Yes  |  Yes  | hoccer   |
| Hogan's Alley                    |  Yes  |  Yes  |  Yes  |  Yes  | pc_hgaly |
| Hole Land                        |  Yes  |  Yes  |  Yes  |  Yes  | holeland |
| Holosseum                        |  Yes  |  Yes  |  Yes  |  Yes  | holo     |
| Hook                             |  Yes  |  Yes  |  Yes  |  Yes  | hook     |
| Hopper Robo                      |  Yes  |  Yes  |  Yes  |  Yes  | hopprobo |
| Hopping Mappy                    |  Yes  |  Yes  |  Yes  |  Yes  | hopmappy |
| Horizon                          |  Yes  |  Yes  |Partial|  Yes  | horizon  |
| Hot Blocks - Tetrix II           |  Yes  |  Yes  |  Yes  |  Yes  | hotblock |
| Hot Chase                        |  Yes  |  Yes  |  Yes  |  Yes  | hotchase |
| Hot Pinball                      |  Yes  |  Yes  |  Yes  |   No  | hotpinbl |
| Hot Rod                          |  Yes  |  Yes  |  Yes  |  Yes  | hotrod   |
| Hot Shocker                      |  Yes  |  Yes  |  Yes  |  Yes  | hotshock |
| Hot Shots Tennis                 |  Yes  |  Yes  |  Yes  |  Yes  | hstennis |
| Hotdog Storm                     |  Yes  |  Yes  |  Yes  |  Yes  | hotdogst |
| House Mannequin                  |  Yes  |  Yes  |  Yes  |  Yes  | housemnq |
| House Mannequin Roppongi Live hen|  Yes  |  Yes  |  Yes  |  Yes  | housemn2 |
| House of the Dead                |   No  |  Yes  |  Yes  |  Yes  | hotd     |
| Hunchback                        |  Yes  |  Yes  |Partial|   No  | hunchbak |
| Hunchback Olympic                |  Yes  |  Yes  |Partial|   No  | huncholy |
| Hustle                           |  Yes  |  Yes  |Part(2)|  Yes  | hustle   |
| Hustler, The                     |  Yes  |  Yes  |  Yes  |   No  | thehustl |
| Hydra                            |  Yes  |  Yes  |  Yes  |  Yes  | hydra    |
| Hyper Athlete                    |  Yes  |  Yes  |Partial|  Yes  | hyperath |
| Hyper Crash                      |   No  |  Yes  |  Yes  |   No  | hcrash   |
| Hyper Duel                       |  Yes  |  Yes  |  Yes  |  Yes  | hyprduel |
| Hyper Pacman                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperpac |
| Hyper Sports                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperspt |
| Hyperdrive                       |  Yes  |  Yes  |  Yes  |  Yes  | hyprdriv |
| I'm Sorry                        |  Yes  |  Yes  |  Yes  |  Yes  | imsorry  |
| I, Robot                         |  Yes  |  Yes  |  Yes  |  Yes  | irobot   |
| IGMO                             |  Yes  |   No  |  Yes  |  Yes  | igmo     |
| IPM Invader                      |  Yes  | Close |   No  |   No  | ipminvad |
| IQ-Block                         |  Yes  |  Yes  |  Yes  |  Yes  | iqblock  |
| Ichidant-R                       |  Yes  |  Yes  |  Yes  |  Yes  | ichidant |
| Idol Janshi Su-Chi-Pie 2         |  Yes  |  Yes  |Partial|  Yes  | 47pie2   |
| Idol Janshi Su-Chi-Pie Special   |   No  |  Yes  |  Yes  |  Yes  | suchipi  |
| Idol no Himitsu [BET]            |  Yes  |  Yes  |  Yes  |  Yes  | idhimitu |
| Idol-Mahjong Final Romance       |  Yes  |  Yes  |  Yes  |  Yes  | fromance |
| Idol-Mahjong Housoukyoku         |  Yes  |  Yes  |  Yes  |  Yes  | idolmj   |
| Iemoto                           |  Yes  |  Yes  |  Yes  |  Yes  | iemoto   |
| Iga Ninjyutsuden                 |  Yes  |  Yes  |  Yes  |  Yes  | iganinju |
| Ikari III - The Rescue           |  Yes  |  Yes  |  Yes  |  Yes  | ikari3   |
| Ikari Warriors                   |  Yes  |  Yes  |  Yes  |   No  | ikari    |
| Ikki                             |  Yes  |  Yes  |  Yes  |  Yes  | ikki     |
| Image Fight                      |  Yes  |  Yes  |  Yes  |  Yes  | imgfight |
| Imago                            |  Yes  |  Yes  |  Yes  |  Yes  | imago    |
| Imekura Mahjong                  |  Yes  |  Yes  |  Yes  |  Yes  | imekura  |
| In The Hunt                      |  Yes  |  Yes  |  Yes  |  Yes  | inthunt  |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytemp |
| Indianapolis 500                 |   No  |  Yes  |  Yes  |  Yes  | indy500  |
| Indoor Soccer                    |  Yes  |  Yes  |  Yes  |   No  | idsoccer |
| Inferno                          |  Yes  |  Yes  |   No  |  Yes  | minferno |
| Inferno                          |  Yes  |  Yes  |Partial|  Yes  | inferno  |
| Insector                         |  Yes  |  Yes  |  Yes  |  Yes  | insector |
| Insector X                       |  Yes  |  Yes  |  Yes  |  Yes  | insectx  |
| International Cup '94            |  Yes  |  Yes  |  Yes  |  Yes  | intcup94 |
| Intrepid                         |  Yes  |  Yes  |  Yes  |  Yes  | intrepid |
| Invader's Revenge                |  Yes  |  Yes  |   No  |  Yes  | invrvnge |
| Invasion                         |   No  |  Yes  |   No  |  Yes  | invasn   |
| Invinco                          |  Yes  |  Yes  | Yes(2)|  Yes  | invinco  |
| Invinco / Deep Scan              |  Yes  |  Yes  |Part(2)|  Yes  | invds    |
